Title,Review URL,G2 Score,Description,Reviews,Comments,Website,Integration 1,Integration 2,Integration 3,Integration 4,Integration 5,Integration 6,Integration 7,Integration 8,Integration 9,Integration 10,Integration 11,Integration 12,Integration 13,Integration 14,Integration 15,Integration 16,Integration 17,Integration 18,Integration 19,Integration 20,Integration 21,Integration 22,Integration 23,Integration 24,Integration 25,Integration 26,Integration 27,Integration 28,Integration 29,Integration 30,Integration 31,Integration 32,Integration 33,Integration 34,Integration 35,Integration 36,Integration 37,Integration 38,Integration 39,Integration 40,Integration 41,Integration 42,Integration 43,Integration 44,Integration 45,Integration 46,Integration 47,Integration 48,Integration 49,Integration 50,Integration 51,Integration 52,Integration 53,Integration 54,Integration 55,Integration 56,Integration 57,Integration 58
Hunter,https://www.g2.com/products/hunter/reviews,4.3,Hunter helps you find and verify professional email addresses from domains and companies.,-276,Data on website,https://hunter.io/integrations,Salesforce,Hubspot,Pipedrive,Zoho CRM,Zapier,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Cognism,https://www.g2.com/products/cognism/reviews,4.7,"Cognism is the world's leading all-in-one globally compliant prospecting solution. Powered by patented AI technology, it provides organisations with compliant B2B data and a suite of sales acceleration tools to help action it. Cognism enables its worldwide business customers to find and deliver new revenue, faster.",-92,Data on website,https://www.cognism.com/,zzz,gmail,Office 365,g suite,microsoft outlook,Hubspot,zzz,outreach,Marketo,Salesforce,Pipedrive,Eloqua,Sugar CRM,Chrome,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Priority Engine,https://www.g2.com/products/priority-engine/reviews,4.1,"TechTarget's Priority Engine is a SaaS-based platform that delivers direct, real-time access to the most active accounts and prospects ranked by their level of purchase intent and engagement to help enterprise B2B technology organizations improve ABM performance, increase sales productivity and maximize demand generation success. The platform provides exclusive third-party intent insights on the topical interests of accounts, recency and relevancy of activity, vendor considerations and installed",-104,Data on website,https://www.techtarget.com/products/priority-engine/,Marketo,Eloqua,Salesforce,Pardot,integrate,Hubspot,microsoft office 365,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
HG Insights,https://www.g2.com/products/hg-insights/reviews,4.2,"HG Insights is the best-in-class leader for technology installation information in the world. B2B technology marketers rely on our accurate technographic insights, based on advanced data science, to build better forecasts and precisely target their campaigns at scale, while innovative OEMs use our intelligence to enhance their product offerings. We offer various ways to access and use our data, including HG Focus, an easy to use prospecting tool for sales teams, and our HG for Salesforce app whi",-293,Data on website,https://hginsights.com/sales/,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Yesware,https://www.g2.com/products/yesware/reviews,4.4,"Win more business with the easiest to use sales software. 
 Yesware is made for professional relationship builders who spend their days prospecting, on the phone, in demos, or in meetings. Yesware works to protect the reputations of salespeople by saving time, helping craft messages that resonate, and providing data-driven reporting and insights so users can make the right moves at the right time. 
 Yesware lives right in your inbox and provides a suite of sales tools - from Email Tracking, to T",-687,Data on website,https://www.yesware.com/feature/salesforce-integration/,LinkedIn Sales Navigator,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Datanyze,https://www.g2.com/products/datanyze/reviews,4.2,"Datanyze is a data provider for B2B companies. We help our customers with account qualification, lead generation, and data enrichment. We offer best-in-class technographic and firmographic data as well as buying signals on millions of companies worldwide. 
 Datanyze is used by 600+ companies around the world and has been recognized as both a Gartner Cool Vendor and G2Crowd High Performer. Check us out at www.datanyze.com.",-421,Data on website,https://www.datanyze.com/integrations,Salesforce,Hubspot,Marketo,outreach,salesloft,PersistIQ,close,Hull,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Autoklose,https://www.g2.com/products/autoklose/reviews,4.6,"The key strategy in generating predictable revenue is building a predictable pipeline. Sales VPs of some of the biggest Fortune 1000 companies use Autoklose daily, to achieve this.
 Autoklose is the first email outreach software with an integrated B2B database filled with over 8 million verified B2B leads. Awarded for its intuitive and easy-to-use interface, Autoklose reduces the onboarding time to a minimum making your sales reps happy and focused.
 â€¢ save 3 hours per day, per sales rep.
 â€¢ sync",-179,Data on website,https://autoklose.com/integrations/,PieSync,zzz,Salesflare,calendly,Hubspot,Pipedrive,Mailchimp,Copper,sharpspring,ScheduleOnce,ActiveCampaign,Act-on,drip,zzz,Clickfunnels,google calendar,microsoft office 365,gmail,Zapier,Vidyard,Salesforce,Drift,nimble,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Lead411,https://www.g2.com/products/lead411/reviews,4.6,"Lead411 provides the most comprehensive and accurate information about contacts and companies available in the marketplace. Through targeted filters, and sales intelligence data points, customers are able to view complete contact data profiles and find growing companies that are more likely to be in a buying cycle for adding services/solutions. 
 Our sales intelligence triggers are an easy way for you to filter for companies that make the most sense to reach out to. 
 Sales Intelligence data",-213,Data on website,https://www.lead411.com/customers/,Base,Capsule,close,highrise,Hubspot,keap (formerly infusionsoft),insightly crm,Less Annoying CRM,Microsoft Dynamics,Nutshell,outreach,PersistIQ,Pipedrive,pipeline deals,Salesforce,SalesforceIQ,SugarCRM,ToutApp,vtiger,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Winmo,https://www.g2.com/products/winmo/reviews,4.4,"Sales teams rely on Winmo to generate leads with top-spending North American marketers. Connecting the dots between brands, agencies and the executives who control their purse-strings, Winmo paves a clearer path to engaging the right decision-makers at the right prospects. And with integrated news, recommendations and alerts, sales teams can track known opportunities, identify new leads, and execute their outreach for optimal results.",-303,Data on website,https://www.winmo.com/why-winmo/integrations/,Pathmatics,linkedin premium,Media Analytics,microsoft dynamics 365 sales,slack,Adbeat,iSpot.tv,Hubspot,GumGum,ihookit,Salesforce,StatSocial,Crystal,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Artesian,https://www.g2.com/products/artesian/reviews,4.5,"Sales intelligence software reimagined. 
 Artesian is a powerful sales intelligence service that equips client-facing teams with the resources they need to succeed in todayâ€™s commercial environment.
 Apps that drive action. MI that measures impact. A service that inspires and coaches. Artesian provides the data, real-time insight and context needed to find customers, create meaningful engagements, sell more, and create long-lasting business relationships.
 With the use of AI technology layered o",-173,Data on website,https://artesian.co/salesforce/,Salesforce,Microsoft Dynamics,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Apollo.io,https://www.g2.com/products/apollo-io/reviews,4.4,"Apollo is a data-first account-based engagement platform that gives reps the ability to dramatically increase their number of quality conversations and opportunities. Reps are empowered do more than just conduct outreach - they learn who to target, how to reach out, and what to say at speed and scale. We help drive growth and success by providing the means for teams to discover and utilize their organizationâ€™s unique best practices. 
 By working in a unified platform, reps and managers alike sav",-120,Data on website,https://www.apollo.io/product/integrations/,linkedin premium,Salesforce,Hubspot,gmail,microsoft outlook,SendGrid,Marketo,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
SimilarWeb Sales Solution,https://www.g2.com/products/similarweb-sales-solution/reviews,4.7,"SimilarWeb Sales Solution allows you to find, win, retain and expand more business all from a single solution. With data on over 80 million companies we can help you:
 - Find relevant new accounts for your business by filtering by over 100 qualification criteria
 - Qualify accounts using advanced digital metrics, through a native Salesforce connector (or another system through API)
 - Fully understand your prospects and customers by using in depth market intelligence data including web traffic,",-25,Data on website,https://www.similarweb.com/corp/developer/,Hubspot,udemy,Choozle,zzz,zzz,sap erp,zzz,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Klue,https://www.g2.com/products/klue/reviews,4.7,"Klue is an AI-powered Competitive Intelligence platform designed to help product marketers and CI teams collect, curate, and deliver actionable competitor insights to empower Sales to win more business.
 Klue enables enterprise sales teams to win more business by providing dynamic insights about competitors. The platform uniquely brings together external competitive intel and internal knowledge from your team in the field. Then, makes it easy for Sales to access the information wherever they are",-67,Data on website,https://klue.com/,linkedin premium,gmail,Salesforce,Google Cloud Functions,slack,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Collective[i],https://www.g2.com/products/collective-i/reviews,4.9,"Productive, enlightened sales teams work smarter and win more. Collective[i] is a holistic approach to aligning your data, people and processes. We call this Customer Relationship Optimization. Imagine everything from your data, how your sales team operates and the activities performed, getting more efficient by simply working using the existing sales tools in your stack. 
 For sales operations and marketing, Collective[i] provides clean, comprehensive and automated data collection. Using Robot",-22,Data from 3rd party,https://www.google.com/search?bih=678&biw=1422&hl=en&ei=lsMrX8bFFuCQ4-EP5dSK2Aw&q=collectivei.com+integrations&oq=collectivei.com+integrations&gs_lcp=CgZwc3ktYWIQAzoHCAAQRxCwA1DJHFjJHGChHmgBcAB4AIABugGIAboBkgEDMC4xmAEAoAEBqgEHZ3dzLXdpesABAQ&sclient=psy-ab&ved=0ahUKEwjG6LTJmIbrAhVgyDgGHWWqAssQ4dUDCAw&uact=5,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Leadfeeder,https://www.g2.com/products/leadfeeder/reviews,4.6,"Leadfeeder is a B2B sales tool that tells you which companies visit your website and what they're interested in. Some have described Leadfeeder as ""Lead Generation on steroids."" Leadfeeder tracks and identifies companies visiting your B2B website. 
 Leadfeeder integrates with many popular CRM's and email marketing tools, so the additional data we provide fits seamlessly into your existing lead management processes.",-108,Data on website,https://www.leadfeeder.com/integrations/,Pipedrive,Mailchimp,Salesforce,Hubspot,zzz,Zapier,microsoft office 365,Slack,webCRM,google hangouts chat,Google Data Studio,Google Analytics,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
RollWorks,https://www.g2.com/products/rollworks/reviews,4.4,"RollWorks, a division of NextRoll, offers ambitious B2B companies an account-based platform to align their marketing and sales teams and confidently grow revenue. Powered by proprietary data and machine learning, RollWorksâ€™ solutions address the needs of organizations large and smallâ€”from those with best-in-class ABM programs to those just beginning their exploration. By empowering teams to identify their target accounts and key buyers, reach those accounts across multiple channels, and measure",-76,Data on website,https://www.rollworks.com/partners,Salesforce,Hubspot,Marketo,linkedin premium,zzz,Opensense,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Growbots,https://www.g2.com/products/growbots/reviews,4.5,"Growbots created the first all-in-one outbound sales platform. Enjoy automatic lead generation and managing email drip campaigns with CRM integration. All you need to do is set up a customer profile and schedule an email campaign to automatically generate new sales opportunities.
 Access 200 million high-quality contacts and send email drip campaigns with help from outbound experts!
 Hundreds of companies scale outbound with Growbots - here's what they say: 
 - ""Fastest and easiest platform I've",-101,Data on website,https://www.growbots.com/,Salesforce,Hubspot,Zapier,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
PartnerTap,https://www.g2.com/products/partnertap/reviews,4.7,"PartnerTap is the only partner ecosystem solution designed specifically for sales teams. PartnerTap gives sales teams and channel managers everything you need to identify new opportunities, collaborate with other sales reps, and measure revenue sourced and influenced by your partner ecosystem.",-61,Data on website,https://partnertap.com/integrate-partner-crm-systems/,Microsoft Dynamics,Salesforce,Hubspot,sharpspring,close,sap erp,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
